Landing page path,Landing page type,Online store visitors,Conversion rate,id,title,description
/collections/vibhuti-nath,Collection,92510,0,,,
/collections/pattachitra,Collection,70970,0,,,
/collections/bengal-pattachitra,Collection,48793,0,,,
/collections/ready-to-ship-art-collection,Collection,35901,0.0002430855661,,,
/collections/the-kunj-x-memeraki-space,Collection,29181,0,,,
/collections/home-decor,Collection,27726,0.00003579610538,,,
/collections/gond-art,Collection,26412,0.0001502573157,,,
/collections/paintings,Collection,25487,0.0007635287755,,,
/collections/memeraki-gifting,Collection,8549,0,,,
/collections/kalighat,Collection,7581,0.0001295336788,,,
/collections/manoranjan-chitrakar,Collection,7157,0,,,
/collections/kalamkari,Collection,6913,0.0002727024816,,,
/collections/traditional-art-wall-hangings,Collection,6704,0,,,
/collections/pichwai,Collection,5964,0,,,
/collections/ambika-devi,Collection,5936,0,,,
/collections/madhubani,Collection,4547,0.0003997601439,,,
/collections/handmade-decor-plates,Collection,3578,0.0002712232167,,,
/collections/best-budget-art-under-10k,Collection,3520,0,,,
/collections/artwork-of-west-bengal,Collection,3372,0,,,
/collections/artwork-of-rajasthan,Collection,3159,0,,,
/blogs/posts/krishna-s-wisdom-on-love-best-quotes-and-their-artistic-echoes,Blog Article,2911,0,,,
/blogs/posts/unleash-the-power-of-hanuman-3-must-tell-stories-for-kids,Blog Article,2824,0,,,
/blogs/posts/shiva-and-parvati-symbol-of-love-and-devotion-and-power,Blog Article,2609,0,,,
/blogs/posts/mapping-indias-folk-art,Blog Article,2345,0.0003785011355,,,
/collections/uttam-chitrakar,Collection,2289,0,,,
/blogs/posts/7-lucky-charms-to-have-in-your-home,Blog Article,2273,0,,,
/collections/masterpieces-handpainted-by-master-artists-across-india,Collection,2245,0,,,
/collections/kerala-mural,Collection,2215,0.0008061265619,,,
/collections/miniature-paintings,Collection,2212,0.0004428697963,,,
/collections/artwork-of-tamil-nadu,Collection,1827,0,,,
/blogs/posts/embroidery-map-of-india,Blog Article,1787,0,,,
/collections/lippan-kaam,Collection,1771,0,,,
/collections/hasir-chitrakar,Collection,1729,0,,,
/blogs/posts/warli-art-tribal-art-of-india,Blog Article,1713,0,,,
/blogs/posts/gond-art-residing-in-the-heart-of-india,Blog Article,1568,0.000546149645,,,
/collections/shiv-and-parvati-paintings,Collection,1526,0,,,
/collections/tanjore,Collection,1439,0,,,
/pages/about-us,Custom Page,1390,0.0006418485237,,,
/collections/harinath-n,Collection,1356,0,,,
/collections/as-seen-on-shark-tank,Collection,1343,0.001349527665,,,
/blogs/posts/the-evolution-of-motifs-from-ancient-symbols-to-modern-interpretation-in-indian-art,Blog Article,1329,0,,,
/collections/editors-pick,Collection,1320,0.0006720430108,,,
/blogs/posts/madhubani-history-themes-and-characteristics,Blog Article,1304,0,,,
